Date,Close,Date,Close,Date,Close
6/1/2016,2099.33,6/1/2016,115.94,6/1/2016,130.42
6/2/2016,2105.26,6/2/2016,115.67,6/2/2016,131.36
6/3/2016,2099.13,6/3/2016,118.88,6/3/2016,133.23
6/6/2016,2109.41,6/6/2016,118.92,6/6/2016,132.24
6/7/2016,2112.13,6/7/2016,118.82,6/7/2016,132.56
6/8/2016,2119.12,6/8/2016,120.58,6/8/2016,133.27
6/9/2016,2115.48,6/9/2016,121.25,6/9/2016,134.13
6/10/2016,2096.07,6/10/2016,121.74,6/10/2016,134.78
6/13/2016,2079.06,6/13/2016,122.64,6/13/2016,135.38
6/14/2016,2075.32,6/14/2016,122.77,6/14/2016,135.28
6/15/2016,2071.5,6/15/2016,123.68,6/15/2016,135.8
6/16/2016,2077.99,6/16/2016,122.38,6/16/2016,136.46
6/17/2016,2071.22,6/17/2016,123.95,6/17/2016,135.61
6/20/2016,2083.25,6/20/2016,123.21,6/20/2016,134.16
6/21/2016,2088.9,6/21/2016,120.84,6/21/2016,133.54
6/22/2016,2085.45,6/22/2016,120.9,6/22/2016,133.76
6/23/2016,2113.32,6/23/2016,120.11,6/23/2016,132.23
6/24/2016,2037.41,6/24/2016,126.01,6/24/2016,135.78
6/27/2016,2000.54,6/27/2016,126.68,6/27/2016,139.17
6/28/2016,2036.09,6/28/2016,125.32,6/28/2016,139.46
6/29/2016,2070.77,6/29/2016,125.84,6/29/2016,138.39
6/30/2016,2098.86,6/30/2016,126.47,6/30/2016,138.9
7/1/2016,2102.95,7/1/2016,128.41,7/1/2016,140.57
7/5/2016,2088.55,7/5/2016,129.47,7/5/2016,142.33
7/6/2016,2099.73,7/6/2016,130.23,7/6/2016,142.56
7/7/2016,2097.9,7/7/2016,129.74,7/7/2016,142.55
7/8/2016,2129.9,7/8/2016,130.52,7/8/2016,143.6
7/11/2016,2137.16,7/11/2016,129.29,7/11/2016,142.34
7/12/2016,2152.14,7/12/2016,127.15,7/12/2016,140
7/13/2016,2152.43,7/13/2016,128.32,7/13/2016,141.65
7/14/2016,2163.75,7/14/2016,127.33,7/14/2016,139.59
7/15/2016,2161.74,7/15/2016,126.84,7/15/2016,138.39
7/18/2016,2166.89,7/18/2016,127.04,7/18/2016,138.26
7/19/2016,2163.78,7/19/2016,127.21,7/19/2016,139.04
7/20/2016,2173.02,7/20/2016,125.39,7/20/2016,138.28
7/21/2016,2165.17,7/21/2016,127.3,7/21/2016,138.56
7/22/2016,2175.03,7/22/2016,126.35,7/22/2016,138.8
7/25/2016,2168.48,7/25/2016,125.47,7/25/2016,138.7
7/26/2016,2169.18,7/26/2016,126,7/26/2016,138.92
